Fiscal_Year,Ministry,Sector,Budget_Allocation,GDP_Growth_Rate,Inflation_CPI,Fiscal_Deficit_GDP,Current_Account_GDP,Exchange_Rate_USD,Crude_Oil_Price,Economic_Crisis,Election_Year,High_Inflation,Budget_MA_3,Budget_MA_5,Budget_YoY_Growth
15-16,Information and Broadcasting,Communication & Technology,3711.11,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,3161.36,2946.38,22.250918254739503
16-17,Information and Broadcasting,Communication & Technology,4083.63,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,3610.1300000000006,3242.27,10.037967077235654
17-18,Information and Broadcasting,Communication & Technology,4409.0,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,4067.913333333334,3595.3419999999996,7.967666022631814
18-19,Information and Broadcasting,Communication & Technology,4088.98,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,4193.87,3865.6740000000004,-7.2583352234066645
19-20,Information and Broadcasting,Communication & Technology,4375.21,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,4291.0633333333335,4133.586,7.000034238367525
20-21,Information and Broadcasting,Communication & Technology,4375.21,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,4279.8,4266.406,0.0
21-22,Information and Broadcasting,Communication & Technology,4071.23,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,4273.883333333334,4263.926,-6.947780792236258
22-23,Information and Broadcasting,Communication & Technology,3980.77,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,4142.403333333333,4178.28,-2.221932929360415
23-24,Information and Broadcasting,Communication & Technology,4692.0,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,4248.0,4298.884,17.866643890503585
05-06,Labour and Employment,Culture & Tourism,1192.09,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,1192.09,1192.09,
06-07,Labour and Employment,Culture & Tourism,1481.36,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,1336.725,1336.725,24.265785301445362
07-08,Labour and Employment,Culture & Tourism,1633.48,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,1435.6433333333334,1435.6433333333334,10.268942053248376
09-10,Labour and Employment,Culture & Tourism,2442.97,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,1852.6033333333332,1687.475,49.556162303793116
10-11,Labour and Employment,Culture & Tourism,2848.33,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,2308.2599999999998,1919.646,16.592917637138417
11-12,Labour and Employment,Culture & Tourism,3109.25,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,2800.183333333333,2303.078,9.160455424757675
12-13,Labour and Employment,Culture & Tourism,4333.68,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,3430.42,2873.542,39.38023639141272
13-14,Labour and Employment,Culture & Tourism,5081.2,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,4174.71,3563.0860000000002,17.24908161193257
15-16,Labour and Employment,Culture & Tourism,3966.85,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,4460.576666666667,3867.862,-21.930843107927256
16-17,Labour and Employment,Culture & Tourism,6131.35,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,5059.8,4524.466,54.5647049926264
17-18,Labour and Employment,Culture & Tourism,7188.38,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,5762.193333333334,5340.292,17.239759596173766
18-19,Labour and Employment,Culture & Tourism,7700.0,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,7006.576666666667,6013.556,7.117319896833507
19-20,Labour and Employment,Culture & Tourism,10434.09,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,8440.823333333334,7084.134,35.50766233766234
20-21,Labour and Employment,Culture & Tourism,12065.49,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,10066.526666666667,8703.862,15.635287792227203
21-22,Labour and Employment,Culture & Tourism,13306.5,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,11935.36,10138.892,10.28561624931934
22-23,Labour and Employment,Culture & Tourism,16893.68,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,14088.556666666665,12079.952000000001,26.9581031826551
23-24,Labour and Employment,Culture & Tourism,13221.73,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,14473.970000000001,13184.298,-21.73564315175853
05-06,Land Resources,Agriculture & Rural,1399.44,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,1399.44,1399.44,
06-07,Land Resources,Agriculture & Rural,1421.7,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,1410.5700000000002,1410.5700000000002,1.5906362545017982
07-08,Land Resources,Agriculture & Rural,1503.78,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,1441.64,1441.64,5.773369909263559
09-10,Land Resources,Agriculture & Rural,2405.64,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,1777.04,1682.6399999999999,59.9728683717033
10-11,Land Resources,Agriculture & Rural,2665.8,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,2191.7400000000002,1879.2720000000002,10.814585723549675
11-12,Land Resources,Agriculture & Rural,2706.2,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,2592.5466666666666,2140.624,1.5154925350738813
12-13,Land Resources,Agriculture & Rural,3208.2,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,2860.066666666667,2497.924,18.549996304781622
13-14,Land Resources,Agriculture & Rural,5772.85,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,3895.75,3351.7380000000003,79.94046505828815
15-16,Land Resources,Agriculture & Rural,59.73,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,3013.593333333333,2882.556,-98.96532908355492
16-17,Land Resources,Agriculture & Rural,230.51,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,2021.03,2395.498,285.91997321279086
17-18,Land Resources,Agriculture & Rural,2310.36,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,866.8666666666667,2316.3300000000004,902.2818966639193
18-19,Land Resources,Agriculture & Rural,2511.4,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,1684.0900000000001,2176.9700000000003,8.701674197960486
19-20,Land Resources,Agriculture & Rural,2227.24,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,2349.6666666666665,1467.848,-11.314804491518682
20-21,Land Resources,Agriculture & Rural,2251.24,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,2329.9599999999996,1906.15,1.0775668540435657
21-22,Land Resources,Agriculture & Rural,2170.42,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,2216.2999999999997,2294.132,-3.590021499262619
22-23,Land Resources,Agriculture & Rural,2259.34,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,2227.0,2283.928,4.0969029035854865
23-24,Land Resources,Agriculture & Rural,2419.23,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,2282.996666666667,2265.4939999999997,7.0768454504412714
05-06,Law and Justice,Governance & Administration,495.0,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,495.0,495.0,
06-07,Law and Justice,Governance & Administration,872.95,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,683.975,683.975,76.35353535353538
07-08,Law and Justice,Governance & Administration,817.0,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,728.3166666666666,728.3166666666666,-6.409301792771638
09-10,Law and Justice,Governance & Administration,1678.0,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,1122.6499999999999,965.7375,105.38555691554467
10-11,Law and Justice,Governance & Administration,687.19,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,1060.7300000000002,910.028,-59.04707985697259
11-12,Law and Justice,Governance & Administration,1432.3,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,1265.8300000000002,1097.488,108.42852777252286
12-13,Law and Justice,Governance & Administration,1535.62,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,1218.37,1230.0220000000002,7.213572575577731
13-14,Law and Justice,Governance & Administration,1815.47,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,1594.4633333333334,1429.716,18.223909560959093
15-16,Law and Justice,Governance & Administration,2960.65,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,2103.9133333333334,1686.2459999999999,63.07898230210358
16-17,Law and Justice,Governance & Administration,4564.99,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,3113.7033333333334,2461.8059999999996,54.18877611335346
17-18,Law and Justice,Governance & Administration,4143.66,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,3889.7666666666664,3004.078,-9.229593054968355
18-19,Law and Justice,Governance & Administration,4386.33,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,4364.993333333333,3574.22,5.856416790952923
19-20,Law and Justice,Governance & Administration,3055.11,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,3861.7000000000003,3822.148,-30.349289725123274
20-21,Law and Justice,Governance & Administration,2200.0,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,3213.8133333333335,3670.018,-27.989499559753995
21-22,Law and Justice,Governance & Administration,2645.82,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,2633.6433333333334,3286.184,20.264545454545456
22-23,Law and Justice,Governance & Administration,3393.48,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,2746.433333333333,3136.148,28.258158151348155
23-24,Law and Justice,Governance & Administration,3975.43,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,3338.2433333333333,3053.968,17.149062319506815
05-06,Mines,Energy & Natural Resources,441.86,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,441.86,441.86,
06-07,Mines,Energy & Natural Resources,495.02,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,468.44,468.44,12.0309600325895
07-08,Mines,Energy & Natural Resources,389.7,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,442.1933333333333,442.1933333333333,-21.27590804411943
09-10,Mines,Energy & Natural Resources,590.0,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,491.57333333333327,479.145,51.39851167564793
10-11,Mines,Energy & Natural Resources,566.14,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,515.28,496.544,-4.0440677966101735
11-12,Mines,Energy & Natural Resources,654.28,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,603.4733333333332,539.028,15.568587275232272
12-13,Mines,Energy & Natural Resources,698.44,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,639.62,579.712,6.7494039249251125
13-14,Mines,Energy & Natural Resources,991.08,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,781.2666666666665,699.988,41.89908939923257
15-16,Mines,Energy & Natural Resources,1155.71,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,948.41,813.13,16.611171651128064
16-17,Mines,Energy & Natural Resources,1213.49,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,1120.0933333333332,942.6,4.999524102067121
17-18,Mines,Energy & Natural Resources,1213.49,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,1194.23,1054.442,0.0
18-19,Mines,Energy & Natural Resources,1669.52,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,1365.5,1248.6580000000001,37.58003774237941
19-20,Mines,Energy & Natural Resources,1497.94,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,1460.3166666666666,1350.0300000000002,-10.277205424313573
20-21,Mines,Energy & Natural Resources,1701.4,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,1622.9533333333336,1459.1680000000001,13.58265351082153
21-22,Mines,Energy & Natural Resources,1466.82,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,1555.3866666666665,1509.834,-13.787469143058662
22-23,Mines,Energy & Natural Resources,1508.0,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,1558.74,1568.736,2.8074337682878703
23-24,Mines,Energy & Natural Resources,1911.6,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,1628.8066666666664,1617.1519999999998,26.763925729442974
05-06,Panchayati Raj@,Governance & Administration,50.44,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,50.44,50.44,
06-07,Panchayati Raj@,Governance & Administration,3750.0,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,1900.22,1900.22,7334.575733544805
07-08,Panchayati Raj@,Governance & Administration,4670.0,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,2823.48,2823.48,24.53333333333334
09-10,Panchayati Raj@,Governance & Administration,110.71,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,2843.5699999999997,2145.2875,-97.62933618843684
10-11,Panchayati Raj@,Governance & Administration,120.71,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,1633.8066666666666,1740.372,9.032607713846996
11-12,Panchayati Raj@,Governance & Administration,200.65,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,144.02333333333334,1770.414,66.22483638472374
12-13,Panchayati Raj@,Governance & Administration,300.74,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,207.36666666666667,1080.5620000000001,49.88288063792674
13-14,Panchayati Raj@,Governance & Administration,500.7,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,334.03,246.702,66.48932632838995
15-16,Panchayati Raj@,Governance & Administration,94.75,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,298.73,243.51,-81.0764929099261
16-17,Panchayati Raj@,Governance & Administration,768.33,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,454.5933333333333,373.034,710.9023746701847
17-18,Panchayati Raj@,Governance & Administration,790.79,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,551.29,491.062,2.9232230942433546
18-19,Panchayati Raj@,Governance & Administration,825.17,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,794.7633333333333,595.948,4.347551182994214
19-20,Panchayati Raj@,Governance & Administration,871.37,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,829.11,670.082,5.598846298338533
20-21,Panchayati Raj@,Governance & Administration,900.94,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,865.8266666666667,831.32,3.393506776684996
21-22,Panchayati Raj@,Governance & Administration,913.43,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,895.2466666666666,860.3399999999999,1.3863298332852159
22-23,Panchayati Raj@,Governance & Administration,868.57,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,894.3133333333334,875.8960000000001,-4.9111590379120384
23-24,Panchayati Raj@,Governance & Administration,1016.42,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,932.8066666666667,914.146,17.02223194446042
05-06,Parliamentary Affairs,Governance & Administration,5.9,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,5.9,5.9,
06-07,Parliamentary Affairs,Governance & Administration,6.0,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,5.95,5.95,1.6949152542372836
07-08,Parliamentary Affairs,Governance & Administration,6.1,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,6.0,6.0,1.6666666666666607
09-10,Parliamentary Affairs,Governance & Administration,8.33,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,6.81,6.5825,36.55737704918034
10-11,Parliamentary Affairs,Governance & Administration,7.47,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,7.3,6.76,-10.324129651860748
11-12,Parliamentary Affairs,Governance & Administration,10.48,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,8.76,7.676,40.29451137884874
12-13,Parliamentary Affairs,Governance & Administration,11.72,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,9.89,8.82,11.832061068702293
13-14,Parliamentary Affairs,Governance & Administration,13.28,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,11.826666666666666,10.256,13.310580204778155
15-16,Parliamentary Affairs,Governance & Administration,15.57,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,13.523333333333333,11.704,17.243975903614462
16-17,Parliamentary Affairs,Governance & Administration,17.3,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,15.383333333333333,13.670000000000002,11.111111111111116
17-18,Parliamentary Affairs,Governance & Administration,17.88,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,16.916666666666668,15.15,3.352601156069346
18-19,Parliamentary Affairs,Governance & Administration,18.86,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,18.013333333333332,16.578,5.480984340044737
19-20,Parliamentary Affairs,Governance & Administration,19.38,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,18.706666666666667,17.798,2.75715800636267
20-21,Parliamentary Affairs,Governance & Administration,50.52,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,29.586666666666662,24.788,160.68111455108362
21-22,Parliamentary Affairs,Governance & Administration,65.07,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,44.98999999999999,34.342,28.800475059382393
22-23,Parliamentary Affairs,Governance & Administration,66.4,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,60.663333333333334,44.04600000000001,2.0439526663593277
23-24,Parliamentary Affairs,Governance & Administration,63.0,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,64.82333333333332,52.874,-5.120481927710852
05-06,"Personnel, Public Grievances and Pensions",Governance & Administration,304.0,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,304.0,304.0,
06-07,"Personnel, Public Grievances and Pensions",Governance & Administration,345.3,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,324.65,324.65,13.585526315789487
07-08,"Personnel, Public Grievances and Pensions",Governance & Administration,366.0,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,338.43333333333334,338.43333333333334,5.994787141615987
09-10,"Personnel, Public Grievances and Pensions",Governance & Administration,675.5,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,462.26666666666665,422.7,84.56284153005464
10-11,"Personnel, Public Grievances and Pensions",Governance & Administration,706.36,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,582.62,479.43199999999996,4.568467801628429
11-12,"Personnel, Public Grievances and Pensions",Governance & Administration,766.78,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,716.2133333333333,571.988,8.553711988221302
12-13,"Personnel, Public Grievances and Pensions",Governance & Administration,894.67,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,789.27,681.8619999999999,16.678838780354212
13-14,"Personnel, Public Grievances and Pensions",Governance & Administration,1019.94,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,893.7966666666666,812.65,14.001810723507013
15-16,"Personnel, Public Grievances and Pensions",Governance & Administration,921.43,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,945.3466666666667,861.8359999999999,-9.658411279094858
16-17,"Personnel, Public Grievances and Pensions",Governance & Administration,1477.68,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,1139.6833333333334,1016.1,60.368123460273715
17-18,"Personnel, Public Grievances and Pensions",Governance & Administration,1423.0,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,1274.0366666666666,1147.344,-3.700395214119434
18-19,"Personnel, Public Grievances and Pensions",Governance & Administration,46430.0,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,16443.56,10254.41,3162.8250175685175
19-20,"Personnel, Public Grievances and Pensions",Governance & Administration,48565.0,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,32139.333333333332,19763.422,4.598320051690719
20-21,"Personnel, Public Grievances and Pensions",Governance & Administration,61169.35,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,52054.78333333333,31813.006,25.953567383918454
21-22,"Personnel, Public Grievances and Pensions",Governance & Administration,55873.12,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,55202.49,42692.094000000005,-8.658306815423078
22-23,"Personnel, Public Grievances and Pensions",Governance & Administration,65840.81,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,60961.09333333333,55575.656,17.8398664688852
23-24,"Personnel, Public Grievances and Pensions",Governance & Administration,71701.0,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,64471.64333333333,60629.85600000001,8.90054359902317
05-06,Planning,Governance & Administration,106.8,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,106.8,106.8,
06-07,Planning,Governance & Administration,123.83,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,115.315,115.315,15.945692883895134
07-08,Planning,Governance & Administration,129.32,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,119.98333333333333,119.98333333333333,4.4334975369458185
09-10,Planning,Governance & Administration,519.0,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,257.3833333333333,219.7375,301.3300340241262
10-11,Planning,Governance & Administration,2059.32,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,902.5466666666667,587.6540000000001,296.7861271676301
11-12,Planning,Governance & Administration,1676.0,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,1418.1066666666666,901.4939999999999,-18.613911388225247
12-13,Planning,Governance & Administration,2177.03,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,1970.7833333333335,1312.134,29.89439140811456
13-14,Planning,Governance & Administration,8081.51,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,3978.1800000000003,2902.572,271.21720876607117
15-16,Planning,Governance & Administration,2211.63,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,4156.723333333333,3241.0980000000004,-72.63345587643893
16-17,Planning,Governance & Administration,293.14,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,3528.7599999999998,2887.862,-86.74552253315429
17-18,Planning,Governance & Administration,252.52,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,919.0966666666664,2603.166,-13.856860203315813
18-19,Planning,Governance & Administration,339.65,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,295.103333333333,2235.69,34.50419768731188
19-20,Planning,Governance & Administration,363.4,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,318.523333333333,692.068,6.992492271455908
20-21,Planning,Governance & Administration,650.0,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,451.01666666666637,379.742,78.86626307099615
21-22,Planning,Governance & Administration,1062.77,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,692.0566666666664,533.668,63.50307692307693
22-23,Planning,Governance & Administration,321.42,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,678.063333333333,547.4480000000001,-69.75639131703002
23-24,Planning,Governance & Administration,824.39,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,736.193333333333,644.396,156.48372845498102
05-06,Posts,Communication & Technology,1773.1,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,1773.1,1773.1,
06-07,Posts,Communication & Technology,1765.2,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,1769.15,1769.15,-0.445547346455355
07-08,Posts,Communication & Technology,1714.38,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,1750.8933333333334,1750.8933333333334,-2.878993881713121
09-10,Posts,Communication & Technology,6021.26,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,3166.9466666666667,2818.485,251.22084951994304
10-11,Posts,Communication & Technology,4266.14,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,4000.5933333333337,3108.0160000000005,-29.14871638162112
11-12,Posts,Communication & Technology,5827.67,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,5371.69,3918.9300000000003,36.60287754269667
12-13,Posts,Communication & Technology,6537.12,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,5543.643333333333,4873.314,12.17381903917003
13-14,Posts,Communication & Technology,7527.09,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,6630.626666666667,6035.856000000001,15.143824803583229
15-16,Posts,Communication & Technology,7138.7,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,7067.636666666666,6259.344,-5.159895789740798
16-17,Posts,Communication & Technology,9025.53,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,7897.106666666667,7211.222,26.431002843655026
17-18,Posts,Communication & Technology,9550.0,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,8571.410000000002,7955.688,5.81096068596525
18-19,Posts,Communication & Technology,11496.18,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,10023.903333333334,8947.5,20.378848167539275
19-20,Posts,Communication & Technology,11299.1,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,10781.76,9701.902,-1.7143085790236379
20-21,Posts,Communication & Technology,15525.38,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,12773.553333333331,11379.238000000001,37.40368701932011
21-22,Posts,Communication & Technology,16528.22,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,14450.9,12879.776000000002,6.459358804744242
22-23,Posts,Communication & Technology,20820.02,4.2,5.7,-3.2,-0.2,82.7,94.3,0,0,0,17624.539999999997,15133.780000000002,25.966498509821378
23-24,Posts,Communication & Technology,25814.0,6.8,6.8,-3.1,-1.5,83.3,81.7,0,0,0,21054.08,17997.344,23.986432289690395
05-06,Power,Energy & Natural Resources,3061.7,9.3,4.2,-4.0,-1.2,44.1,54.5,0,0,0,3061.7,3061.7,
06-07,Power,Energy & Natural Resources,5567.0,9.3,6.1,-3.4,-1.0,45.3,65.1,0,0,0,4314.35,4314.35,81.82708952542706
07-08,Power,Energy & Natural Resources,5552.19,9.8,8.4,-2.5,-1.3,40.3,72.4,0,0,1,4726.963333333333,4726.963333333333,-0.26603197413329616
09-10,Power,Energy & Natural Resources,9202.0,8.5,12.0,-6.5,-2.8,47.4,61.7,0,1,1,6773.73,5845.7225,65.73640311300588
10-11,Power,Energy & Natural Resources,10474.87,10.3,7.0,-4.8,-4.2,50.0,79.5,0,0,0,8409.686666666666,6771.552000000001,13.832536405129336
11-12,Power,Energy & Natural Resources,9506.99,6.6,8.9,-5.7,-1.0,54.4,94.9,0,0,1,9727.953333333333,8060.610000000001,-9.240019207875616
12-13,Power,Energy & Natural Resources,9519.11,5.5,9.3,-4.5,-1.7,58.6,109.5,0,0,1,9833.656666666668,8851.032000000001,0.1274851451405823
13-14,Power,Energy & Natural Resources,10073.07,6.4,5.8,-4.1,-1.0,61.0,105.9,0,0,0,9699.723333333333,9755.207999999999,5.8194516083961645
15-16,Power,Energy & Natural Resources,6725.93,8.0,5.2,-3.9,-1.0,64.2,43.7,0,0,0,8772.703333333333,9259.994,-33.228598629811955
16-17,Power,Energy & Natural Resources,12252.71,8.3,4.9,-3.5,-2.1,67.2,54.2,0,0,0,9683.903333333334,9615.562,82.17123877292805
17-18,Power,Energy & Natural Resources,13881.14,4.0,6.2,-3.1,-0.9,70.1,64.2,0,0,0,10953.26,10490.391999999998,13.290365968018513
18-19,Power,Energy & Natural Resources,15046.92,-6.6,6.6,-9.2,0.9,74.1,41.8,0,0,0,13726.923333333332,11595.954,8.398301580417744
19-20,Power,Energy & Natural Resources,15874.82,8.7,5.5,-6.7,-1.2,73.0,70.9,0,1,0,14934.293333333333,12756.304,5.502122693547906
20-21,Power,Energy & Natural Resources,15874.82,7.0,5.1,-3.4,-0.4,78.0,77.2,1,0,0,15598.853333333333,14586.081999999999,0.0
21-22,Power,Energy & Natural Resources,15322.0,6.1,4.3,-3.8,-2.1,79.4,52.8,0,0,0,15690.546666666667,15199.939999999999,-3.4823701938037743
