Sector_12,Base_Ministry,Fiscal_Year,Year_End,Budget_Amount,Sector_Total,Ministry_Share_Sector
social and services,Secondary Education and Higher Education,22-23,2023,40828.35,234637.34,0.17400619185335123
social and services,Secondary Education and Higher Education,23-24,2024,44094.62,252239.36000000002,0.17481260656544642
social and services,Social Justice and Empowerment,05-06,2006,1599.7,28608.45,0.055917045488308524
social and services,Social Justice and Empowerment,06-07,2007,5567.0,48197.7,0.11550343688599249
social and services,Social Justice and Empowerment,07-08,2008,5552.19,60391.79,0.09193617211875985
social and services,Social Justice and Empowerment,09-10,2010,9202.0,86266.54000000001,0.10666939928273464
social and services,Social Justice and Empowerment,10-11,2011,10474.87,99508.37,0.10526622031895409
social and services,Social Justice and Empowerment,11-12,2012,5453.0,110655.0,0.04927929149157291
social and services,Social Justice and Empowerment,12-13,2013,9519.11,135191.11,0.07041224826099883
social and services,Social Justice and Empowerment,13-14,2014,10073.07,145720.07,0.06912616772693013
social and services,Social Justice and Empowerment,15-16,2016,6725.93,53316.64,0.12615067266054275
social and services,Social Justice and Empowerment,16-17,2017,12252.71,70287.81,0.17432197702560373
social and services,Social Justice and Empowerment,17-18,2018,6908.0,159412.99,0.04333398426313941
social and services,Social Justice and Empowerment,18-19,2019,15046.92,181379.93,0.08295802076889103
social and services,Social Justice and Empowerment,19-20,2020,15874.82,204242.16,0.07772548038074019
social and services,Social Justice and Empowerment,20-21,2021,15874.82,215154.24,0.0737834401962053
social and services,Social Justice and Empowerment,21-22,2022,15322.0,209816.52000000002,0.073025708366529
social and services,Social Justice and Empowerment,22-23,2023,16074.74,234637.34,0.06850887416299554
social and services,Social Justice and Empowerment,23-24,2024,20671.32,252239.36000000002,0.08195120698054419
social and services,Women and Child Development,05-06,2006,3931.11,28608.45,0.13741079995595706
social and services,Women and Child Development,06-07,2007,4852.94,48197.7,0.10068820711361745
social and services,Women and Child Development,07-08,2008,5853.0,60391.79,0.09691714718176096
social and services,Women and Child Development,09-10,2010,7428.0,86266.54000000001,0.08610522689330069
social and services,Women and Child Development,10-11,2011,11070.5,99508.37,0.11125194795171502
social and services,Women and Child Development,11-12,2012,12733.0,110655.0,0.11506935972165741
social and services,Women and Child Development,12-13,2013,18584.0,135191.11,0.13746466021323445
social and services,Women and Child Development,13-14,2014,20440.0,145720.07,0.14026894167701126
social and services,Women and Child Development,15-16,2016,1084.61,53316.64,0.02034280479790174
social and services,Women and Child Development,16-17,2017,3094.32,70287.81,0.044023565394909876
social and services,Women and Child Development,17-18,2018,22094.67,159412.99,0.13860018559340742
social and services,Women and Child Development,18-19,2019,24700.0,181379.93,0.13617824199182346
social and services,Women and Child Development,19-20,2020,29164.9,204242.16,0.14279568919560975
social and services,Women and Child Development,20-21,2021,30007.1,215154.24,0.13946785338741174
social and services,Women and Child Development,21-22,2022,24435.0,209816.52000000002,0.11645889465710325
social and services,Women and Child Development,22-23,2023,25172.28,234637.34,0.10728164579431389
social and services,Women and Child Development,23-24,2024,25448.75,252239.36000000002,0.10089127248023465
social and services,Youth Affairs and Sports,05-06,2006,506.99,28608.45,0.017721687123909195
social and services,Youth Affairs and Sports,06-07,2007,669.0,48197.7,0.013880330389209444
social and services,Youth Affairs and Sports,07-08,2008,780.0,60391.79,0.012915662874042978
social and services,Youth Affairs and Sports,09-10,2010,3073.0,86266.54000000001,0.035622154313827814
social and services,Youth Affairs and Sports,10-11,2011,3565.0,99508.37,0.0358261320128146
social and services,Youth Affairs and Sports,11-12,2012,1121.0,110655.0,0.010130586055758891
social and services,Youth Affairs and Sports,12-13,2013,1152.0,135191.11,0.008521270370514748
social and services,Youth Affairs and Sports,13-14,2014,1219.0,145720.07,0.008365354202753264
social and services,Youth Affairs and Sports,15-16,2016,1398.84,53316.64,0.026236462012609946
social and services,Youth Affairs and Sports,16-17,2017,1592.0,70287.81,0.022649731155373883
social and services,Youth Affairs and Sports,17-18,2018,1943.21,159412.99,0.01218978453387017
social and services,Youth Affairs and Sports,18-19,2019,2196.35,181379.93,0.012109112623430828
social and services,Youth Affairs and Sports,19-20,2020,2216.92,204242.16,0.010854370126128709
social and services,Youth Affairs and Sports,20-21,2021,2826.92,215154.24,0.013139039230646816
social and services,Youth Affairs and Sports,21-22,2022,2596.14,209816.52000000002,0.012373382229387846
social and services,Youth Affairs and Sports,22-23,2023,3062.6,234637.34,0.013052483462350876
social and services,Youth Affairs and Sports,23-24,2024,3397.32,252239.36000000002,0.013468635505576925
